lunghezza_frasi,numero_token
1,80
1,54
1,77
2,71
1,87
2,107
1,76
2,192
1,37
1,75
1,166
1,149
1,54
2,58
2,140
2,125
1,22
3,532
1,109
3,57
1,62
2,88
2,59
3,49
1,149
1,121
1,39
1,157
1,38
1,141
3,173
2,87
1,77
1,86
1,46
1,81
3,93
5,220
1,43
3,135
1,65
1,141
1,168
1,45
1,236
1,41
1,55
1,205
2,95
1,56
1,98
4,98
1,149
2,50
1,69
1,76
1,93
1,170
1,35
1,114
1,143
1,45
1,49
1,39
1,28
1,51
1,146
2,93
2,92
4,97
1,55
1,59
1,91
7,176
1,64
1,64
1,44
2,112
1,125
1,133
1,106
1,112
1,24
1,65
1,128
2,52
3,105
2,93
1,43
1,40
1,140
1,91
1,161
1,70
2,185
1,61
1,113
1,25
1,157
4,80
1,118
1,48
1,58
1,69
1,34
1,75
1,89
2,86
3,172
1,36
1,219
1,210
2,102
1,80
3,138
1,167
1,42
1,73
2,50
1,84
2,53
2,39
2,31
1,54
8,116
1,93
3,43
1,156
2,83
1,72
1,54
3,88
1,62
1,124
2,171
2,97
5,131
1,20
1,60
1,73
3,86
8,287
1,62
2,95
1,36
4,96
1,43
1,114
1,199
1,113
3,89
4,88
1,57
3,63
1,167
1,89
1,188
2,151
1,57
1,56
1,177
2,114
1,151
1,89
2,189
1,75
1,61
2,133
2,26
1,83
1,128
2,84
1,82
1,39
1,48
1,79
2,98
3,168
1,59
1,114
1,49
1,66
1,78
2,41
1,25
1,32
2,57
1,82
2,99
1,50
1,65
2,191
3,41
1,37
2,99
1,41
1,75
5,152
2,191
4,87
1,61
1,149
1,75
3,199
1,72
1,57
2,75
1,86
2,103
2,195
1,39
1,127
1,72
4,98
4,172
3,161
1,68
1,47
1,83
1,48
1,135
1,60
2,92
1,190
1,48
1,67
1,85
1,50
2,103
1,87
2,172
1,36
1,88
1,185
2,80
2,50
1,48
1,182
1,46
1,82
1,112
1,77
2,117
1,65
1,109
1,156
3,84
1,27
1,68
1,32
1,34
2,169
1,45
2,86
1,95
1,164
2,57
1,79
1,63
1,59
2,132
1,125
2,72
1,30
1,46
1,63
1,65
1,185
1,110
1,47
1,85
1,136
1,173
1,64
1,38
1,66
1,98
2,85
2,31
1,147
1,35
3,127
1,44
1,54
3,202
1,80
2,146
1,226
1,46
1,63
1,160
1,244
1,32
1,52
1,48
1,23
4,87
2,145
2,69
1,34
1,212
1,91
1,42
1,78
1,46
2,75
6,157
1,45
1,48
1,30
2,102
1,37
1,118
3,52
1,87
1,127
6,87
1,88
1,50
2,90
1,161
1,80
1,46
1,214
1,69
1,25
1,42
2,166
1,134
1,39
2,167
2,169
1,36
1,188
2,157
1,45
1,47
1,182
1,47
2,110
1,85
1,41
1,139
1,204
1,59
1,95
2,100
1,130
1,122
2,101
2,61
1,71
3,218
2,90
1,166
2,73
1,31
10,145
2,85
1,73
1,49
2,188
2,63
1,79
1,97
1,81
2,82
2,83
1,76
1,145
2,81
1,88
1,121
1,131
2,48
1,47
1,156
2,177
2,59
1,77
2,51
2,47
1,120
1,86
2,146
1,77
1,173
1,72
1,88
1,78
1,38
2,90
2,211
1,35
1,65
1,141
1,48
1,31
1,28
1,208
1,144
1,120
1,49
1,139
4,90
1,38
1,47
2,194
1,53
2,78
4,165
1,60
1,61
1,31
1,91
1,220
2,100
1,141
1,44
1,46
1,50
1,105
1,85
2,55
1,115
2,65
1,41
2,27
1,53
2,141
1,80
1,34
1,155
2,86
1,62
1,58
2,72
2,80
1,136
1,52
3,127
3,81
1,76
1,81
1,146
2,77
1,84
1,60
1,50
2,135
1,113
7,144
1,31
1,24
1,38
1,57
5,214
2,121
1,134
1,47
1,216
1,48
2,109
1,86
1,145
1,32
1,137
1,57
1,120
1,69
1,38
1,217
1,42
1,72
1,42
1,58
1,133
1,33
2,63
1,34
3,96
1,84
2,150
3,86
1,69
1,66
1,152
1,85
1,54
1,83
1,51
1,44
3,171
1,24
1,37
1,100
2,76
1,30
3,123
1,27
1,127
2,172
1,147
1,163
2,79
1,83
1,42
2,243
1,80
3,74
1,77
1,48
1,25
1,170
2,120
1,112
1,74
1,70
2,109
4,90
1,144
1,82
2,253
1,142
1,87
1,31
1,35
1,83
1,72
1,52
1,180
1,60
2,132
1,71
1,75
1,80
2,95
1,218
1,44
1,47
1,206
2,84
1,110
1,66
1,42
1,49
1,50
2,73
1,92
1,48
4,124
1,102
1,79
2,98
1,94
4,114
4,45
1,149
1,71
1,148
4,61
1,155
1,97
1,87
3,131
1,30
2,90
1,142
1,41
1,96
1,57
1,91
5,157
1,49
2,173
1,125
2,58
1,168
1,169
1,137
1,27
1,102
2,57
1,102
1,141
2,232
1,56
1,144
1,47
1,132
2,114
2,149
4,115
1,51
1,73
1,32
2,80
1,135
1,36
1,95
1,68
1,94
3,86
1,108
1,94
2,73
1,77
2,80
1,92
3,83
1,49
1,167
1,53
2,142
1,258
1,157
2,156
1,85
1,49
1,76
1,80
1,175
1,184
1,41
1,32
5,87
2,38
3,104
1,87
1,63
2,89
1,45
1,92
1,239
1,68
1,22
1,176
1,76
1,38
2,96
1,45
1,38
1,167
1,211
1,91
1,36
1,142
1,135
1,49
7,227
1,59
1,48
3,164
1,142
2,88
1,91
2,149
2,269
2,153
1,54
1,50
1,41
1,61
1,67
1,49
1,136
1,25
1,92
1,223
2,127
1,77
1,156
1,79
2,84
3,279
1,74
5,308
